UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,P00001,L,300.36,307.89,1762.0,38.5,237,1,Machine Failure
2,P00002,H,297.33,309.88,1305.0,36.73,32,0,No Failure
3,P00003,M,300.76,307.74,1139.0,29.57,230,1,Machine Failure
4,P00004,M,301.22,311.14,1187.0,28.28,231,1,Machine Failure
5,P00005,L,301.12,310.12,1354.0,44.64,17,0,No Failure
6,P00006,L,302.16,307.81,1394.0,34.49,72,0,No Failure
7,P00007,L,301.67,309.54,1269.0,43.16,160,0,No Failure
8,P00008,H,300.92,308.87,1111.0,31.15,159,0,No Failure
9,P00009,M,299.86,310.48,1363.0,41.81,188,0,No Failure
10,P00010,M,296.68,312.01,1554.0,53.03,181,0,No Failure
11,P00011,L,300.86,307.19,1679.0,45.86,16,0,No Failure
12,P00012,H,300.42,310.17,1333.0,35.88,18,0,No Failure
13,P00013,H,300.54,309.76,1376.0,42.57,218,1,Machine Failure
14,P00014,L,297.45,311.01,1222.0,37.59,69,0,No Failure
15,P00015,L,297.84,310.32,1491.0,40.08,226,1,Machine Failure
16,P00016,L,302.11,308.87,1245.0,36.74,119,0,No Failure
17,P00017,L,299.92,309.52,1672.0,38.36,100,0,No Failure
18,P00018,M,301.36,308.81,964.0,42.12,33,0,No Failure
19,P00019,M,300.06,311.61,1392.0,30.07,83,0,No Failure
20,P00020,L,300.06,310.03,1590.0,29.84,152,0,No Failure
21,P00021,M,301.88,312.85,1555.0,26.11,195,0,No Failure
22,P00022,L,298.97,309.91,2308.0,24.0,73,1,Machine Failure
23,P00023,L,300.19,308.94,1605.0,27.83,201,1,Machine Failure
24,P00024,L,299.08,307.73,1199.0,41.59,87,0,No Failure
25,P00025,M,299.13,307.3,1471.0,31.07,84,0,No Failure
26,P00026,M,299.38,307.62,967.0,45.14,10,0,No Failure
27,P00027,L,300.44,310.4,1476.0,40.35,90,0,No Failure
28,P00028,M,299.04,310.76,1250.0,20.31,143,0,No Failure
29,P00029,M,302.51,307.63,1775.0,46.55,217,1,Machine Failure
30,P00030,L,298.21,311.34,1335.0,48.11,188,0,No Failure
31,P00031,M,299.63,309.28,1465.0,30.06,221,1,Machine Failure
32,P00032,L,299.12,310.22,1309.0,44.2,126,0,No Failure
33,P00033,L,302.89,312.42,2022.0,31.44,112,1,Machine Failure
34,P00034,H,300.39,311.35,1404.0,40.98,79,0,No Failure
35,P00035,H,302.06,309.6,2050.0,27.36,6,1,Machine Failure
36,P00036,H,297.03,308.66,1744.0,22.07,15,0,No Failure
37,P00037,L,300.53,306.77,1645.0,36.17,226,1,Machine Failure
38,P00038,L,301.78,308.92,1611.0,38.76,249,1,Machine Failure
39,P00039,M,300.16,309.68,1618.0,36.02,15,0,No Failure
40,P00040,M,302.13,308.52,922.0,28.16,167,0,No Failure
41,P00041,L,298.97,309.8,1416.0,36.0,11,0,No Failure
42,P00042,M,302.82,310.12,1754.0,42.69,34,0,No Failure
43,P00043,L,304.6,309.66,1485.0,39.55,240,1,Machine Failure
44,P00044,H,299.27,309.02,1078.0,41.83,20,0,No Failure
45,P00045,L,299.11,310.25,1484.0,33.3,177,0,No Failure
46,P00046,M,302.91,310.66,2011.0,51.72,170,1,Machine Failure
47,P00047,L,303.16,308.36,1874.0,28.24,227,1,Machine Failure
48,P00048,M,298.95,312.12,1481.0,44.88,239,1,Machine Failure
49,P00049,M,299.16,309.85,1785.0,51.82,16,0,No Failure
50,P00050,L,299.44,310.03,1390.0,44.81,31,0,No Failure
51,P00051,H,297.31,311.06,989.0,37.97,40,0,No Failure
52,P00052,M,298.16,310.35,1223.0,34.72,133,0,No Failure
53,P00053,H,297.99,311.43,1969.0,50.36,215,1,Machine Failure
54,P00054,H,298.46,310.43,1418.0,25.77,26,0,No Failure
55,P00055,M,299.93,309.08,1427.0,30.3,147,0,No Failure
